"","Year","State","Crop","Area","Produced"
"892",2000,"CHHATTISGARH                  ","RAGI",11183,2630
"893",2001,"CHHATTISGARH                  ","RAGI",10860,3210
"894",2002,"CHHATTISGARH                  ","RAGI",10523,2184
"895",2003,"CHHATTISGARH                  ","RAGI",10647,3109
"896",2004,"CHHATTISGARH                  ","RAGI",10108,2665
"897",2006,"CHHATTISGARH                  ","RAGI",8817,2576
"898",2007,"CHHATTISGARH                  ","RAGI",8914,2483
"899",2008,"CHHATTISGARH                  ","RAGI",8677,2415
"900",2009,"CHHATTISGARH                  ","RAGI",7906,2107
"901",1999,"D & N HAVELI                  ","RAGI",1593,2232
"902",2000,"D & N HAVELI                  ","RAGI",1405,1909
"903",2001,"D & N HAVELI                  ","RAGI",1394,1538
"904",2002,"D & N HAVELI                  ","RAGI",1375,1873
"905",2003,"D & N HAVELI                  ","RAGI",1684,1873
"906",2004,"D & N HAVELI                  ","RAGI",1634,2330
"907",2005,"D & N HAVELI                  ","RAGI",1658,3628
"908",1998,"GOA                           ","RAGI",2500,2476
"909",2004,"GOA                           ","RAGI",394,377
"910",2005,"GOA                           ","RAGI",441,463
"911",2006,"GOA                           ","RAGI",280,254
"912",2007,"GOA                           ","RAGI",162,170
"913",1998,"GUJARAT                       ","RAGI",19700,20400
"914",1999,"GUJARAT                       ","RAGI",19400,21600
"915",2000,"GUJARAT                       ","RAGI",19600,14000
"916",2001,"GUJARAT                       ","RAGI",21000,21500
"917",2002,"GUJARAT                       ","RAGI",24600,15900
"918",2003,"GUJARAT                       ","RAGI",20800,24000
"919",2004,"GUJARAT                       ","RAGI",24300,25800
"920",2005,"GUJARAT                       ","RAGI",21700,23200
"921",2006,"GUJARAT                       ","RAGI",20400,20500
"922",2007,"GUJARAT                       ","RAGI",21700,18200
"923",2008,"GUJARAT                       ","RAGI",19400,20000
"924",2009,"GUJARAT                       ","RAGI",14700,11000
"925",2010,"GUJARAT                       ","RAGI",20000,13900
"926",2005,"HIMACHAL PRADESH              ","RAGI",3323,3409
"927",2006,"HIMACHAL PRADESH              ","RAGI",2950,3158
"928",2007,"HIMACHAL PRADESH              ","RAGI",1845,2489
"929",2008,"HIMACHAL PRADESH              ","RAGI",2273,2442
"930",2010,"HIMACHAL PRADESH              ","RAGI",2321,2110
"931",2002,"JHARKHAND                     ","RAGI",26659.73,32959.9
"932",2003,"JHARKHAND                     ","RAGI",73301.3,50316.73
"933",2004,"JHARKHAND                     ","RAGI",29029.16,23846.57
"934",2005,"JHARKHAND                     ","RAGI",27846.26,23278.28
"935",2006,"JHARKHAND                     ","RAGI",32829.89,25216
"936",2007,"JHARKHAND                     ","RAGI",30550.12,27952
"937",1998,"KARNATAKA                     ","RAGI",1030679,1734076
"938",1999,"KARNATAKA                     ","RAGI",916329,1402162
"939",2000,"KARNATAKA                     ","RAGI",1022701,1835332
"940",2001,"KARNATAKA                     ","RAGI",953430,1539308
"941",2002,"KARNATAKA                     ","RAGI",767148,714489
"942",2003,"KARNATAKA                     ","RAGI",998266,1125093
"943",2004,"KARNATAKA                     ","RAGI",892841,1613873
"944",2005,"KARNATAKA                     ","RAGI",938630,1656306
"945",2006,"KARNATAKA                     ","RAGI",618771,664985
"946",2007,"KARNATAKA                     ","RAGI",720724,1150223
"947",2008,"KARNATAKA                     ","RAGI",722636,1022520
"948",2009,"KARNATAKA                     ","RAGI",641622,1007000
"949",1998,"KERALA                        ","RAGI",1157,936
"950",1999,"KERALA                        ","RAGI",870,704
"951",2000,"KERALA                        ","RAGI",1955,1582
"952",2001,"KERALA                        ","RAGI",1947,1575
"953",2002,"KERALA                        ","RAGI",1320,1068
"954",2003,"KERALA                        ","RAGI",1504,1217
"955",2004,"KERALA                        ","RAGI",1383,1119
"956",2005,"KERALA                        ","RAGI",414,335
"957",2006,"KERALA                        ","RAGI",516,417
"958",2007,"KERALA                        ","RAGI",266,216
"959",2008,"KERALA                        ","RAGI",608,492
"960",2009,"KERALA                        ","RAGI",292,236
"961",1999,"MADHYA PRADESH                ","RAGI",11814,3418.2
"962",2000,"MADHYA PRADESH                ","RAGI",1783,662.2
"963",2001,"MADHYA PRADESH                ","RAGI",508,135
"964",2002,"MADHYA PRADESH                ","RAGI",608,150.3
"965",2003,"MADHYA PRADESH                ","RAGI",514,136.1
"966",2004,"MADHYA PRADESH                ","RAGI",403,112
"967",2005,"MADHYA PRADESH                ","RAGI",419,113
"968",2007,"MADHYA PRADESH                ","RAGI",454,140
"969",2008,"MADHYA PRADESH                ","RAGI",440,137
"970",1999,"MAHARASHTRA                   ","RAGI",155400,167200
"971",2000,"MAHARASHTRA                   ","RAGI",154900,128600
"972",2001,"MAHARASHTRA                   ","RAGI",150700,181600
"973",2002,"MAHARASHTRA                   ","RAGI",145900,124200
"974",2003,"MAHARASHTRA                   ","RAGI",146900,170000
"975",2004,"MAHARASHTRA                   ","RAGI",144600,147200
"976",2005,"MAHARASHTRA                   ","RAGI",135800,132300
"977",2006,"MAHARASHTRA                   ","RAGI",136000,123000
"978",2007,"MAHARASHTRA                   ","RAGI",1283,1235
"979",2008,"MAHARASHTRA                   ","RAGI",125500,125000
"980",2009,"MAHARASHTRA                   ","RAGI",120200,108700
"981",2010,"MAHARASHTRA                   ","RAGI",120000,117500
"982",2010,"NAGALAND                      ","RAGI",250,230
"983",1998,"ORISSA                        ","RAGI",81004,51882
"984",1999,"ORISSA                        ","RAGI",81754,52900.3
"985",2000,"ORISSA                        ","RAGI",83981,46551.2
"986",2001,"ORISSA                        ","RAGI",76262,45075.8
"987",2002,"ORISSA                        ","RAGI",77095,35501.8
"988",2003,"ORISSA                        ","RAGI",70490,44574.1
"989",2004,"ORISSA                        ","RAGI",63806,40843.7
"990",2005,"ORISSA                        ","RAGI",131134,80628.8
"991",2006,"ORISSA                        ","RAGI",65001,43080.2
"992",2007,"ORISSA                        ","RAGI",67527,46775.1
"993",2008,"ORISSA                        ","RAGI",65713,41034.2
"994",2009,"ORISSA                        ","RAGI",59030,37651.9
"995",1999,"PONDICHERRY                   ","RAGI",124,452
"996",2000,"PONDICHERRY                   ","RAGI",125,276
"997",2001,"PONDICHERRY                   ","RAGI",138,325
"998",2002,"PONDICHERRY                   ","RAGI",114,251
"999",2003,"PONDICHERRY                   ","RAGI",121,266
"1000",2004,"PONDICHERRY                   ","RAGI",104,166
"1001",2005,"PONDICHERRY                   ","RAGI",56,101
"1002",1998,"TAMIL NADU                    ","RAGI",161000,334162
"1003",1999,"TAMIL NADU                    ","RAGI",163024,282833
"1004",2000,"TAMIL NADU                    ","RAGI",126955,259390.2
"1005",2001,"TAMIL NADU                    ","RAGI",124958,235311
"1006",2002,"TAMIL NADU                    ","RAGI",104286,140169
"1007",2003,"TAMIL NADU                    ","RAGI",118439,176381
"1008",2004,"TAMIL NADU                    ","RAGI",108845,154085
"1009",2005,"TAMIL NADU                    ","RAGI",99549,132172
"1010",2006,"TAMIL NADU                    ","RAGI",95478,148148
"1011",2007,"TAMIL NADU                    ","RAGI",93701,175944
"1012",2008,"TAMIL NADU                    ","RAGI",90063,169944
"1013",2009,"TAMIL NADU                    ","RAGI",82335,160939
"1014",1999,"UTTAR PRADESH                 ","RAGI",137622,190689
"1015",2002,"UTTAR PRADESH                 ","RAGI",590,864
"1016",2003,"UTTAR PRADESH                 ","RAGI",221,323
"1017",2000,"UTTARANCHAL                   ","RAGI",127733,162286
"1018",2001,"UTTARANCHAL                   ","RAGI",131779,161963
"1019",2002,"UTTARANCHAL                   ","RAGI",127391,129586
"1020",2003,"UTTARANCHAL                   ","RAGI",126421,165549
"1021",2004,"UTTARANCHAL                   ","RAGI",131003,164096
"1022",2005,"UTTARANCHAL                   ","RAGI",124379,156720
"1023",2006,"UTTARANCHAL                   ","RAGI",125640,171181
"1024",2007,"UTTARANCHAL                   ","RAGI",122498,172157
"1025",2008,"UTTARANCHAL                   ","RAGI",120707,173627
"1026",2009,"UTTARANCHAL                   ","RAGI",116162,142978
"1027",1999,"WEST BENGAL                   ","RAGI",12489,15051
"1028",2000,"WEST BENGAL                   ","RAGI",12651,15242
"1029",2001,"WEST BENGAL                   ","RAGI",12730,14558
"1030",2002,"WEST BENGAL                   ","RAGI",13517,15639
"1031",2003,"WEST BENGAL                   ","RAGI",13417,15505
"1032",2004,"WEST BENGAL                   ","RAGI",12358,15118
"1033",2005,"WEST BENGAL                   ","RAGI",12621,15315
"1034",2006,"WEST BENGAL                   ","RAGI",13135,14974
"1035",2007,"WEST BENGAL                   ","RAGI",13062,14955
"1036",2008,"WEST BENGAL                   ","RAGI",12704,14676
"1037",2009,"WEST BENGAL                   ","RAGI",11774,13897
"1038",2000,"A & N ISLANDS                 ","RICE",10881,32184
"1039",2001,"A & N ISLANDS                 ","RICE",9801,27333
"1040",2002,"A & N ISLANDS                 ","RICE",10885,32111.66
"1041",2003,"A & N ISLANDS                 ","RICE",10561.37,30850.868
"1042",2004,"A & N ISLANDS                 ","RICE",10734.92,29192.23
"1043",2005,"A & N ISLANDS                 ","RICE",8685.47,25883.04
"1044",2006,"A & N ISLANDS                 ","RICE",7776.17,21535.26
"1045",2007,"A & N ISLANDS                 ","RICE",7333.75,21864.4
"1046",2008,"A & N ISLANDS                 ","RICE",7900,14730
"1047",2009,"A & N ISLANDS                 ","RICE",8140,16600
"1048",1998,"ANDHRA PRADESH                ","RICE",4316600,11878000
"1049",1999,"ANDHRA PRADESH                ","RICE",4014248,10637915
"1050",2000,"ANDHRA PRADESH                ","RICE",4242726,12458014
"1051",2001,"ANDHRA PRADESH                ","RICE",3824747,11389791
"1052",2002,"ANDHRA PRADESH                ","RICE",2822000,7327000
"1053",2003,"ANDHRA PRADESH                ","RICE",2975000,8953000
"1054",2004,"ANDHRA PRADESH                ","RICE",3086202,9601045
"1055",2005,"ANDHRA PRADESH                ","RICE",3981751,11703624
"1056",2006,"ANDHRA PRADESH                ","RICE",3977890,11872130
"1057",2007,"ANDHRA PRADESH                ","RICE",3984000,13324000
"1058",2008,"ANDHRA PRADESH                ","RICE",4387216,14241133
"1059",2009,"ANDHRA PRADESH                ","RICE",3440736,10838267
"1060",1998,"ARUNACHAL PRADESH             ","RICE",115481,114116
"1061",1999,"ARUNACHAL PRADESH             ","RICE",122740,134807
"1062",2000,"ARUNACHAL PRADESH             ","RICE",118601,132690
"1063",2001,"ARUNACHAL PRADESH             ","RICE",119455,134621
"1064",2002,"ARUNACHAL PRADESH             ","RICE",108704,131560
"1065",2003,"ARUNACHAL PRADESH             ","RICE",119205,154589
"1066",2004,"ARUNACHAL PRADESH             ","RICE",121642,134950
"1067",2005,"ARUNACHAL PRADESH             ","RICE",122267,146191
"1068",2006,"ARUNACHAL PRADESH             ","RICE",123038,144635
"1069",2007,"ARUNACHAL PRADESH             ","RICE",124029,158146
"1070",2008,"ARUNACHAL PRADESH             ","RICE",126799,164538
"1071",2009,"ARUNACHAL PRADESH             ","RICE",121468,143894.6
"1072",2010,"ARUNACHAL PRADESH             ","RICE",121570,155993
"1073",1998,"ASSAM                         ","RICE",2454122,3254833
"1074",1999,"ASSAM                         ","RICE",2645874,3860648
"1075",2000,"ASSAM                         ","RICE",2646177,3998443
"1076",2001,"ASSAM                         ","RICE",2533424,3854438
"1077",2002,"ASSAM                         ","RICE",2540680,3737802
"1078",2003,"ASSAM                         ","RICE",2529826,3880934
"1079",2004,"ASSAM                         ","RICE",2383731,3470760
"1080",2005,"ASSAM                         ","RICE",2420327,3552438
"1081",2006,"ASSAM                         ","RICE",2196559,2916014
"1082",2007,"ASSAM                         ","RICE",2323996,3318568
"1083",2008,"ASSAM                         ","RICE",2484126,4008435
"1084",2009,"ASSAM                         ","RICE",2497596,4408424
"1085",2010,"ASSAM                         ","RICE",2537455,5032529
"1086",1998,"BIHAR                         ","RICE",4367279,5993441
"1087",1999,"BIHAR                         ","RICE",869104,1109089
"1088",2000,"BIHAR                         ","RICE",3656844,5444370
"1089",2001,"BIHAR                         ","RICE",3564539,5301221
"1090",2002,"BIHAR                         ","RICE",3584701,5085567
"1091",2003,"BIHAR                         ","RICE",3768224,5718627
"1092",2004,"BIHAR                         ","RICE",3140116,2472156
"1093",2005,"BIHAR                         ","RICE",3251236,3709285
"1094",2006,"BIHAR                         ","RICE",3364010,5027947
"1095",2007,"BIHAR                         ","RICE",3477364,4458764
"1096",2008,"BIHAR                         ","RICE",3495273,5589982
"1097",1998,"CHANDIGARH                    ","RICE",120,360
"1098",1999,"CHANDIGARH                    ","RICE",80,240
"1099",2000,"CHANDIGARH                    ","RICE",70,350
"1100",2001,"CHANDIGARH                    ","RICE",50,250
"1101",2002,"CHANDIGARH                    ","RICE",140,700
"1102",2003,"CHANDIGARH                    ","RICE",100,500
"1103",2004,"CHANDIGARH                    ","RICE",80,400
"1104",2005,"CHANDIGARH                    ","RICE",50,250
"1105",2006,"CHANDIGARH                    ","RICE",50,250
"1106",2007,"CHANDIGARH                    ","RICE",50,250
"1107",2008,"CHANDIGARH                    ","RICE",20,100
"1108",2009,"CHANDIGARH                    ","RICE",20,100
"1109",2010,"CHANDIGARH                    ","RICE",20,103
"1110",2000,"CHHATTISGARH                  ","RICE",3769746,2369295
"1111",2001,"CHHATTISGARH                  ","RICE",3810112,5073721
"1112",2002,"CHHATTISGARH                  ","RICE",3777661,2634853
"1113",2003,"CHHATTISGARH                  ","RICE",3828992,5567644
"1114",2004,"CHHATTISGARH                  ","RICE",3843825,4586818
"1115",2005,"CHHATTISGARH                  ","RICE",3854352,5267537
"1116",2006,"CHHATTISGARH                  ","RICE",3822436,5441525
"1117",2007,"CHHATTISGARH                  ","RICE",3817675,5517844
"1118",2008,"CHHATTISGARH                  ","RICE",3843506,4626715
"1119",2009,"CHHATTISGARH                  ","RICE",3755469,4254580
"1120",2010,"CHHATTISGARH                  ","RICE",3848240,6459114
"1121",1999,"D & N HAVELI                  ","RICE",14405,28692
"1122",2000,"D & N HAVELI                  ","RICE",15218,28663
"1123",2001,"D & N HAVELI                  ","RICE",13879,31035
"1124",2002,"D & N HAVELI                  ","RICE",13683,38321
"1125",2003,"D & N HAVELI                  ","RICE",13897,27933
"1126",2004,"D & N HAVELI                  ","RICE",13987,29171
"1127",2005,"D & N HAVELI                  ","RICE",13560,33643
"1128",1998,"DELHI                         ","RICE",7303,10799
"1129",1999,"DELHI                         ","RICE",8105,15279
"1130",2000,"DELHI                         ","RICE",6053,11420
"1131",2001,"DELHI                         ","RICE",6405,12063
"1132",2002,"DELHI                         ","RICE",6096,12907
"1133",2003,"DELHI                         ","RICE",6549,17909
"1134",2004,"DELHI                         ","RICE",8431,28216
"1135",2005,"DELHI                         ","RICE",7506,21092
"1136",2006,"DELHI                         ","RICE",7381,20815
"1137",2007,"DELHI                         ","RICE",7419,20946
"1138",1998,"GOA                           ","RICE",56439,151174
"1139",1999,"GOA                           ","RICE",56713,139923
"1140",2000,"GOA                           ","RICE",57207,142123
"1141",2001,"GOA                           ","RICE",49383,126523
"1142",2002,"GOA                           ","RICE",50169,134767
"1143",2003,"GOA                           ","RICE",52801,170661
"1144",2004,"GOA                           ","RICE",52442,217761
"1145",2005,"GOA                           ","RICE",52177,220853
"1146",2006,"GOA                           ","RICE",51985,193418
"1147",2007,"GOA                           ","RICE",52191,182519
"1148",1998,"GUJARAT                       ","RICE",622100,1015900
"1149",1999,"GUJARAT                       ","RICE",664400,984900
"1150",2000,"GUJARAT                       ","RICE",583500,472600
"1151",2001,"GUJARAT                       ","RICE",664000,1028700
"1152",2002,"GUJARAT                       ","RICE",469000,541700
"1153",2003,"GUJARAT                       ","RICE",675300,1277000
"1154",2004,"GUJARAT                       ","RICE",679400,1196500
"1155",2005,"GUJARAT                       ","RICE",672900,1283600
"1156",2006,"GUJARAT                       ","RICE",689300,1141200
"1157",2007,"GUJARAT                       ","RICE",758600,1474200
"1158",2008,"GUJARAT                       ","RICE",747300,1302900
"1159",2009,"GUJARAT                       ","RICE",679500,1293000
"1160",2010,"GUJARAT                       ","RICE",808100,1665800
"1161",1998,"HARYANA                       ","RICE",1086694,2432000
"1162",1999,"HARYANA                       ","RICE",1083052,2563000
"1163",2000,"HARYANA                       ","RICE",1054281,2695000
"1164",2001,"HARYANA                       ","RICE",1027505,2726000
"1165",2002,"HARYANA                       ","RICE",905651,2468000
"1166",2003,"HARYANA                       ","RICE",1015191,2790000
"1167",2004,"HARYANA                       ","RICE",1024236,3010000
"1168",2005,"HARYANA                       ","RICE",1046588,3194000
"1169",2006,"HARYANA                       ","RICE",1042035,3371000
"1170",2007,"HARYANA                       ","RICE",1072545,3606000
"1171",2008,"HARYANA                       ","RICE",1211149,3299000
"1172",2009,"HARYANA                       ","RICE",1206402,3628000
"1173",1998,"HIMACHAL PRADESH              ","RICE",82125,116997
"1174",1999,"HIMACHAL PRADESH              ","RICE",80222,120365
"1175",2000,"HIMACHAL PRADESH              ","RICE",81519,124893
"1176",2001,"HIMACHAL PRADESH              ","RICE",80579,137418
"1177",2002,"HIMACHAL PRADESH              ","RICE",83273,85653
"1178",2003,"HIMACHAL PRADESH              ","RICE",81335,120624
"1179",2004,"HIMACHAL PRADESH              ","RICE",79519,109129
"1180",2005,"HIMACHAL PRADESH              ","RICE",79366,112139
"1181",2006,"HIMACHAL PRADESH              ","RICE",79206,123485
"1182",2007,"HIMACHAL PRADESH              ","RICE",78571,121453
"1183",2008,"HIMACHAL PRADESH              ","RICE",77709,118277
"1184",1999,"JAMMU & KASHMIR               ","RICE",250625,391528.6
"1185",2000,"JAMMU & KASHMIR               ","RICE",244051,415341.8
"1186",2001,"JAMMU & KASHMIR               ","RICE",249830,422298
"1187",2002,"JAMMU & KASHMIR               ","RICE",236199,421457
"1188",2003,"JAMMU & KASHMIR               ","RICE",259815,504797
"1189",2004,"JAMMU & KASHMIR               ","RICE",250044,492732
"1190",2007,"JAMMU & KASHMIR               ","RICE",211617,439868
"1191",2002,"JHARKHAND                     ","RICE",1059018.29,1063090.99137
"1192",2003,"JHARKHAND                     ","RICE",2051720.69,1943353.09598
"1193",2004,"JHARKHAND                     ","RICE",1134251.31,1006373.0216343
"1194",2005,"JHARKHAND                     ","RICE",1104098.11,614026.720005
"1195",2006,"JHARKHAND                     ","RICE",1179218.42,1429944.070667
"1196",2007,"JHARKHAND                     ","RICE",1198054.31,1470623.9973
"1197",1998,"KARNATAKA                     ","RICE",1426805,3656811
"1198",1999,"KARNATAKA                     ","RICE",1449796,3716730
"1199",2000,"KARNATAKA                     ","RICE",1483446,3846736
"1200",2001,"KARNATAKA                     ","RICE",1417724,3234045
"1201",2002,"KARNATAKA                     ","RICE",1154783,2390085
"1202",2003,"KARNATAKA                     ","RICE",1073899,2550399
"1203",2004,"KARNATAKA                     ","RICE",1308179,3706213
"1204",2005,"KARNATAKA                     ","RICE",1485181,3999246
"1205",2006,"KARNATAKA                     ","RICE",1395676,3645526
"1206",2007,"KARNATAKA                     ","RICE",1404362,3835381
"1207",2008,"KARNATAKA                     ","RICE",1499253,3989083
"1208",2009,"KARNATAKA                     ","RICE",1474805,3843252
"1209",1998,"KERALA                        ","RICE",352631,726743
"1210",1999,"KERALA                        ","RICE",349774,770656
"1211",2000,"KERALA                        ","RICE",347468,751340
"1212",2001,"KERALA                        ","RICE",325704,710839
"1213",2002,"KERALA                        ","RICE",310521,688859
"1214",2003,"KERALA                        ","RICE",287340,570045.01
"1215",2004,"KERALA                        ","RICE",289974,667105
"1216",2005,"KERALA                        ","RICE",275742,629987
"1217",2006,"KERALA                        ","RICE",263529,641575
"1218",2007,"KERALA                        ","RICE",228938,528488
"1219",2008,"KERALA                        ","RICE",234265,590241
"1220",2009,"KERALA                        ","RICE",234013,598339
"1221",1999,"MADHYA PRADESH                ","RICE",5603817,6765359
"1222",2000,"MADHYA PRADESH                ","RICE",1697346,975274
"1223",2001,"MADHYA PRADESH                ","RICE",1766150,1685799
"1224",2002,"MADHYA PRADESH                ","RICE",1671107,1024930
"1225",2003,"MADHYA PRADESH                ","RICE",1708583,1743430
"1226",2004,"MADHYA PRADESH                ","RICE",1675513,1302615
"1227",2005,"MADHYA PRADESH                ","RICE",1700446,1687475
"1228",2007,"MADHYA PRADESH                ","RICE",1634910,1325175
"1229",2008,"MADHYA PRADESH                ","RICE",1649143,1545524
"1230",1999,"MAHARASHTRA                   ","RICE",1498500,2549300
"1231",2000,"MAHARASHTRA                   ","RICE",1511500,1929700
"1232",2001,"MAHARASHTRA                   ","RICE",1514000,2651200
"1233",2002,"MAHARASHTRA                   ","RICE",1523300,1854100
"1234",2003,"MAHARASHTRA                   ","RICE",1529900,2834100
"1235",2004,"MAHARASHTRA                   ","RICE",1508700,2147200
"1236",2005,"MAHARASHTRA                   ","RICE",1503000,2665900
"1237",2006,"MAHARASHTRA                   ","RICE",1529300,2571700
"1238",2007,"MAHARASHTRA                   ","RICE",36836,29128
"1239",2008,"MAHARASHTRA                   ","RICE",1499500,2234210
"1240",2009,"MAHARASHTRA                   ","RICE",1450000,2137114
"1241",2010,"MAHARASHTRA                   ","RICE",1486200,2624900
"1242",1998,"MANIPUR                       ","RICE",166890,382190
"1243",1999,"MANIPUR                       ","RICE",157050,364980
"1244",2000,"MANIPUR                       ","RICE",156890,381750
"1245",2001,"MANIPUR                       ","RICE",162570,387270
"1246",2002,"MANIPUR                       ","RICE",153110,335700
"1247",2003,"MANIPUR                       ","RICE",157830,381240
"1248",2004,"MANIPUR                       ","RICE",176310,435930
"1249",2005,"MANIPUR                       ","RICE",166260,386070
"1250",2006,"MANIPUR                       ","RICE",165370,389170
"1251",2007,"MANIPUR                       ","RICE",166150,406150
"1252",1998,"MEGHALYA                      ","RICE",105402,149742
"1253",1999,"MEGHALYA                      ","RICE",106411,170733
"1254",2000,"MEGHALYA                      ","RICE",106660,179042
"1255",2001,"MEGHALYA                      ","RICE",107761,188971
"1256",2002,"MEGHALYA                      ","RICE",107742,190937
"1257",2003,"MEGHALYA                      ","RICE",109721,200703
"1258",2004,"MEGHALYA                      ","RICE",111546,193719
"1259",2005,"MEGHALYA                      ","RICE",106071,208277
"1260",2007,"MEGHALYA                      ","RICE",106320,200077
"1261",2008,"MEGHALYA                      ","RICE",108045,203862
"1262",2009,"MEGHALYA                      ","RICE",108162,204129
"1263",1998,"MIZORAM                       ","RICE",68392,110813
"1264",1999,"MIZORAM                       ","RICE",49713,88397
"1265",2000,"MIZORAM                       ","RICE",51839,103673
"1266",2001,"MIZORAM                       ","RICE",55880,105713
"1267",2002,"MIZORAM                       ","RICE",57067,109205
"1268",2003,"MIZORAM                       ","RICE",59196,114630
"1269",2004,"MIZORAM                       ","RICE",57085,107660
"1270",2005,"MIZORAM                       ","RICE",56460,107740
"1271",2006,"MIZORAM                       ","RICE",52851,29464
"1272",2007,"MIZORAM                       ","RICE",54541,15688
"1273",2008,"MIZORAM                       ","RICE",51990,68917
"1274",2009,"MIZORAM                       ","RICE",47204,66131
"1275",1999,"NAGALAND                      ","RICE",148000,222000
"1276",2000,"NAGALAND                      ","RICE",151680,233330
"1277",2001,"NAGALAND                      ","RICE",156500,237000
"1278",2002,"NAGALAND                      ","RICE",150000,223400
"1279",2003,"NAGALAND                      ","RICE",138390,222990
"1280",2004,"NAGALAND                      ","RICE",154000,261750
"1281",2005,"NAGALAND                      ","RICE",156400,263100
"1282",2006,"NAGALAND                      ","RICE",164680,263520
"1283",2007,"NAGALAND                      ","RICE",167500,311300
"1284",2008,"NAGALAND                      ","RICE",146050,290460
"1285",2010,"NAGALAND                      ","RICE",152800,324160
"1286",1998,"ORISSA                        ","RICE",4446713,5391322
"1287",1999,"ORISSA                        ","RICE",4602000,5186000
"1288",2000,"ORISSA                        ","RICE",4433520,4613380
"1289",2001,"ORISSA                        ","RICE",4500000,7148460
"1290",2002,"ORISSA                        ","RICE",4273000,3243900
"1291",2003,"ORISSA                        ","RICE",4501000,10203000
"1292",2004,"ORISSA                        ","RICE",4492000,6537000
"1293",2005,"ORISSA                        ","RICE",8958000,13717000
"1294",2006,"ORISSA                        ","RICE",4451000,6823000
"1295",2007,"ORISSA                        ","RICE",4452000,7540000
"1296",2008,"ORISSA                        ","RICE",4455000,6812000
"1297",2009,"ORISSA                        ","RICE",4364000,6913000
"1298",1999,"PONDICHERRY                   ","RICE",25444,59433
"1299",2000,"PONDICHERRY                   ","RICE",42779,103606
"1300",2001,"PONDICHERRY                   ","RICE",26263,66868
"1301",2002,"PONDICHERRY                   ","RICE",24142,57514
"1302",2003,"PONDICHERRY                   ","RICE",25065,67003
"1303",2004,"PONDICHERRY                   ","RICE",24822,61036
"1304",2005,"PONDICHERRY                   ","RICE",22925,53617
"1305",1998,"PUNJAB                        ","RICE",2519000,7940000
"1306",1999,"PUNJAB                        ","RICE",2604000,8716000
"1307",2000,"PUNJAB                        ","RICE",2611000,9154000
"1308",2001,"PUNJAB                        ","RICE",2487000,8816000
"1309",2002,"PUNJAB                        ","RICE",2530000,8880000
"1310",2003,"PUNJAB                        ","RICE",2614000,9656000
"1311",2004,"PUNJAB                        ","RICE",2800000,10437000
"1312",2005,"PUNJAB                        ","RICE",2642000,10193000
"1313",2006,"PUNJAB                        ","RICE",2419000,9542000
"1314",2007,"PUNJAB                        ","RICE",2311000,9381000
"1315",2008,"PUNJAB                        ","RICE",2437000,9902000
"1316",2009,"PUNJAB                        ","RICE",2496000,10112000
"1317",2010,"PUNJAB                        ","RICE",2517000,9745000
"1318",1999,"RAJASTHAN                     ","RICE",200162,252554
"1319",2000,"RAJASTHAN                     ","RICE",166275,155716
"1320",2001,"RAJASTHAN                     ","RICE",144378,180048
"1321",2002,"RAJASTHAN                     ","RICE",83584,67932
"1322",2003,"RAJASTHAN                     ","RICE",99709,164819.7
"1323",2004,"RAJASTHAN                     ","RICE",101361,150413
"1324",2005,"RAJASTHAN                     ","RICE",107492,153074
"1325",2006,"RAJASTHAN                     ","RICE",107758,169823
"1326",2007,"RAJASTHAN                     ","RICE",127831,259657
"1327",2008,"RAJASTHAN                     ","RICE",131888,238317
"1328",2009,"RAJASTHAN                     ","RICE",149164,225966
"1329",1998,"SIKKIM                        ","RICE",15874,21957
"1330",1999,"SIKKIM                        ","RICE",15908,23439
"1331",2000,"SIKKIM                        ","RICE",15218,21358
"1332",2001,"SIKKIM                        ","RICE",14900,21372
"1333",2002,"SIKKIM                        ","RICE",14790,21220
"1334",2003,"SIKKIM                        ","RICE",14740,21190
"1335",2004,"SIKKIM                        ","RICE",14740,21610
"1336",2005,"SIKKIM                        ","RICE",14740,23690
"1337",2006,"SIKKIM                        ","RICE",14150,21450
"1338",2007,"SIKKIM                        ","RICE",11860,19480
"1339",2008,"SIKKIM                        ","RICE",13000,22230
"1340",2009,"SIKKIM                        ","RICE",12270,20930
"1341",2010,"SIKKIM                        ","RICE",12140,20973
"1342",1998,"TAMIL NADU                    ","RICE",2386399,8215286
"1343",1999,"TAMIL NADU                    ","RICE",2204046,7225373
"1344",2000,"TAMIL NADU                    ","RICE",2080010,7366420
"1345",2001,"TAMIL NADU                    ","RICE",2059878,6583630
"1346",2002,"TAMIL NADU                    ","RICE",1516537,3577108
"1347",2003,"TAMIL NADU                    ","RICE",1396651,3222776
"1348",2004,"TAMIL NADU                    ","RICE",1872822,5061622
"1349",2005,"TAMIL NADU                    ","RICE",2050455,5209433
"1350",2006,"TAMIL NADU                    ","RICE",1931397,6610607
"1351",2007,"TAMIL NADU                    ","RICE",1789170,5039954
"1352",2008,"TAMIL NADU                    ","RICE",1895969,5183385
"1353",2009,"TAMIL NADU                    ","RICE",1845553,5665258
"1354",1999,"TRIPURA                       ","RICE",232160,505680
"1355",2000,"TRIPURA                       ","RICE",243070,547520
"1356",2001,"TRIPURA                       ","RICE",246750,587390
"1357",2002,"TRIPURA                       ","RICE",255270,602410
"1358",2003,"TRIPURA                       ","RICE",257440,616820
